"sample_id" "condition" "gene_name" "gene_usage_count"
"3N_S17" "N" "IGHV4-59" 258
"3N_S17" "N" "IGHV4-61" 140
"3N_S17" "N" "IGHV5-10-1" 48
"3N_S17" "N" "IGHV5-51" 87
"3N_S17" "N" "IGHV6-1" 40
"4N_S18" "N" "IGHV1-18" 55
"4N_S18" "N" "IGHV1-2" 44
"4N_S18" "N" "IGHV1-24" 16
"4N_S18" "N" "IGHV1-3" 27
"4N_S18" "N" "IGHV1-45" 2
"4N_S18" "N" "IGHV1-46" 37
"4N_S18" "N" "IGHV1-58" 8
"4N_S18" "N" "IGHV1-69" 52
"4N_S18" "N" "IGHV1-8" 56
"4N_S18" "N" "IGHV2-26" 4
"4N_S18" "N" "IGHV2-5" 14
"4N_S18" "N" "IGHV2-70" 3
"4N_S18" "N" "IGHV3-11" 143
"4N_S18" "N" "IGHV3-13" 14
"4N_S18" "N" "IGHV3-15" 118
"4N_S18" "N" "IGHV3-20" 34
"4N_S18" "N" "IGHV3-21" 69
"4N_S18" "N" "IGHV3-23" 416
"4N_S18" "N" "IGHV3-30" 192
"4N_S18" "N" "IGHV3-30-3" 26
"4N_S18" "N" "IGHV3-33" 125
"4N_S18" "N" "IGHV3-43" 12
"4N_S18" "N" "IGHV3-43D" 9
"4N_S18" "N" "IGHV3-47" 1
"4N_S18" "N" "IGHV3-48" 179
"4N_S18" "N" "IGHV3-49" 9
"4N_S18" "N" "IGHV3-52" 2
"4N_S18" "N" "IGHV3-53" 83
"4N_S18" "N" "IGHV3-64" 4
"4N_S18" "N" "IGHV3-64D" 1
"4N_S18" "N" "IGHV3-66" 34
"4N_S18" "N" "IGHV3-7" 189
"4N_S18" "N" "IGHV3-72" 23
"4N_S18" "N" "IGHV3-73" 56
"4N_S18" "N" "IGHV3-74" 124
"4N_S18" "N" "IGHV3-9" 179
"4N_S18" "N" "IGHV3-NL1" 1
"4N_S18" "N" "IGHV4-28" 1
"4N_S18" "N" "IGHV4-30-2" 11
"4N_S18" "N" "IGHV4-30-4" 12
"4N_S18" "N" "IGHV4-31" 26
"4N_S18" "N" "IGHV4-34" 77
"4N_S18" "N" "IGHV4-38-2" 34
"4N_S18" "N" "IGHV4-39" 107
"4N_S18" "N" "IGHV4-4" 44
"4N_S18" "N" "IGHV4-59" 154
"4N_S18" "N" "IGHV4-61" 30
"4N_S18" "N" "IGHV5-10-1" 22
"4N_S18" "N" "IGHV5-51" 49
"4N_S18" "N" "IGHV6-1" 15
"4N_S18" "N" "IGHV7-4-1" 5
"5N_S19" "N" "IGHV1-18" 124
"5N_S19" "N" "IGHV1-2" 127
"5N_S19" "N" "IGHV1-24" 152
"5N_S19" "N" "IGHV1-3" 56
"5N_S19" "N" "IGHV1-46" 94
"5N_S19" "N" "IGHV1-58" 16
"5N_S19" "N" "IGHV1-69" 38
"5N_S19" "N" "IGHV1-8" 200
"5N_S19" "N" "IGHV1/OR15-2" 1
"5N_S19" "N" "IGHV2-26" 10
"5N_S19" "N" "IGHV2-5" 30
"5N_S19" "N" "IGHV3-11" 256
"5N_S19" "N" "IGHV3-13" 61
"5N_S19" "N" "IGHV3-15" 142
"5N_S19" "N" "IGHV3-20" 22
"5N_S19" "N" "IGHV3-21" 311
"5N_S19" "N" "IGHV3-23" 1007
"5N_S19" "N" "IGHV3-30" 646
"5N_S19" "N" "IGHV3-30-3" 391
"5N_S19" "N" "IGHV3-33" 241
"5N_S19" "N" "IGHV3-43" 35
"5N_S19" "N" "IGHV3-43D" 76
"5N_S19" "N" "IGHV3-47" 19
"5N_S19" "N" "IGHV3-48" 267
"5N_S19" "N" "IGHV3-49" 47
"5N_S19" "N" "IGHV3-52" 3
"5N_S19" "N" "IGHV3-53" 172
"5N_S19" "N" "IGHV3-64" 23
"5N_S19" "N" "IGHV3-64D" 1
"5N_S19" "N" "IGHV3-66" 202
"5N_S19" "N" "IGHV3-69-1" 1
"5N_S19" "N" "IGHV3-7" 347
"5N_S19" "N" "IGHV3-72" 50
"5N_S19" "N" "IGHV3-73" 135
"5N_S19" "N" "IGHV3-74" 52
"5N_S19" "N" "IGHV3-9" 487
"5N_S19" "N" "IGHV3-NL1" 4
"5N_S19" "N" "IGHV4-30-2" 139
"5N_S19" "N" "IGHV4-30-4" 95
"5N_S19" "N" "IGHV4-31" 161
"5N_S19" "N" "IGHV4-34" 539
"5N_S19" "N" "IGHV4-38-2" 347
"5N_S19" "N" "IGHV4-39" 541
"5N_S19" "N" "IGHV4-4" 163
"5N_S19" "N" "IGHV4-59" 373
"5N_S19" "N" "IGHV4-61" 60
"5N_S19" "N" "IGHV5-10-1" 1
"5N_S19" "N" "IGHV5-51" 53
"5N_S19" "N" "IGHV6-1" 4
"5N_S19" "N" "IGHV7-4-1" 9
"6N_S20" "N" "IGHV1-18" 115
"6N_S20" "N" "IGHV1-2" 5
"6N_S20" "N" "IGHV1-24" 13
"6N_S20" "N" "IGHV1-3" 24
"6N_S20" "N" "IGHV1-46" 51
"6N_S20" "N" "IGHV1-58" 2
"6N_S20" "N" "IGHV1-69" 47
"6N_S20" "N" "IGHV1-8" 29
"6N_S20" "N" "IGHV2-26" 3
"6N_S20" "N" "IGHV2-5" 9
"6N_S20" "N" "IGHV2-70" 4
"6N_S20" "N" "IGHV3-11" 53
"6N_S20" "N" "IGHV3-13" 54
"6N_S20" "N" "IGHV3-15" 50
"6N_S20" "N" "IGHV3-19" 1
