"sample_id" "condition" "gene_name" "gene_usage_count"
"C7" "C" "TRBV28" 14552.9999999974
"C8" "C" "TRBV28" 13432.9999999965
"C9" "C" "TRBV28" 23041.9999999968
"MS1" "MS" "TRBV28" 13825.9999999943
"MS10" "MS" "TRBV28" 24814.9999999951
"MS11" "MS" "TRBV28" 3242.99999999891
"MS12" "MS" "TRBV28" 10534.9999999941
"MS13" "MS" "TRBV28" 6743.99999999537
"MS2" "MS" "TRBV28" 8630.9999999934
"MS3" "MS" "TRBV28" 3568.99999999856
"MS4" "MS" "TRBV28" 5382.99999999497
"MS5" "MS" "TRBV28" 5871.99999999732
"MS6" "MS" "TRBV28" 3460.99999999868
"MS7" "MS" "TRBV28" 7400.99999999779
"MS8" "MS" "TRBV28" 11113.9999999968
"MS9" "MS" "TRBV28" 14132.999999994
"C1" "C" "TRBV29-1" 26039.9999999952
"C10" "C" "TRBV29-1" 14913.9999999881
"C11" "C" "TRBV29-1" 25372.9999999925
"C2" "C" "TRBV29-1" 21089.9999999945
"C3" "C" "TRBV29-1" 66383.9999999913
"C4" "C" "TRBV29-1" 43168.9999999924
"C5" "C" "TRBV29-1" 46948.9999999915
"C6" "C" "TRBV29-1" 20770.9999999946
"C7" "C" "TRBV29-1" 27663.9999999952
"C8" "C" "TRBV29-1" 26454.9999999931
"C9" "C" "TRBV29-1" 47052.9999999935
"MS1" "MS" "TRBV29-1" 20163.9999999916
"MS10" "MS" "TRBV29-1" 38515.9999999924
"MS11" "MS" "TRBV29-1" 37874.9999999873
"MS12" "MS" "TRBV29-1" 10224.9999999943
"MS13" "MS" "TRBV29-1" 7971.99999999453
"MS2" "MS" "TRBV29-1" 8350.99999999361
"MS3" "MS" "TRBV29-1" 26415.9999999893
"MS4" "MS" "TRBV29-1" 6000.99999999439
"MS5" "MS" "TRBV29-1" 12701.9999999942
"MS6" "MS" "TRBV29-1" 19084.9999999927
"MS7" "MS" "TRBV29-1" 21680.9999999935
"MS8" "MS" "TRBV29-1" 32185.9999999908
"MS9" "MS" "TRBV29-1" 20496.9999999913
"C1" "C" "TRBV3-1" 20199.9999999963
