"sample_id" "condition" "gene_name" "gene_usage_count"
"Pt1" "hcv" "IGHV3-53" 98
"Pt1" "hcv" "IGHV1-18" 211
"Pt1" "hcv" "IGHV3-64D" 32
"Pt1" "hcv" "IGHV2-26" 37
"Pt1" "hcv" "IGHV7-4-1" 104
"Pt1" "hcv" "IGHV3-48" 206
"Pt1" "hcv" "IGHV1-24" 34
"Pt1" "hcv" "IGHV3-7" 273
"Pt1" "hcv" "IGHV3-21" 190
"Pt1" "hcv" "IGHV4/OR15-8" 1
"Pt1" "hcv" "IGHV3-11" 132
"Pt1" "hcv" "IGHV1-NL1" 0
"Pt1" "hcv" "IGHV1-46" 113
"Pt1" "hcv" "IGHV3-13" 29
"Pt1" "hcv" "IGHV1/OR15-4" 0
"Pt1" "hcv" "IGHV4-4" 86
"Pt1" "hcv" "IGHV3-15" 189
"Pt1" "hcv" "IGHV1-2" 26
"Pt1" "hcv" "IGHV3-33" 208
"Pt1" "hcv" "IGHV2-5" 62
"Pt1" "hcv" "IGHV4-31" 98
"Pt1" "hcv" "IGHV3-49" 53
"Pt1" "hcv" "IGHV4-61" 78
"Pt1" "hcv" "IGHV3-38-3" 1
"Pt1" "hcv" "IGHV3-22" 0
"Pt1" "hcv" "IGHV5-10-1" 111
"Pt1" "hcv" "IGHV3-43" 22
"Pt1" "hcv" "IGHV1/OR15-1" 0
"Pt1" "hcv" "IGHV1-58" 23
"Pt1" "hcv" "IGHV3-43D" 9
"Pt1" "hcv" "IGHV1-68" 1
"Pt1" "hcv" "IGHV3-66" 71
"Pt1" "hcv" "IGHV3-74" 197
"Pt1" "hcv" "IGHV7-81" 0
"Pt1" "hcv" "IGHV3-35" 0
"Pt1" "hcv" "IGHV1-3" 112
"Pt1" "hcv" "IGHV3-71" 0
"Pt1" "hcv" "IGHV3-52" 1
"Pt1" "hcv" "IGHV1-45" 7
"Pt1" "hcv" "IGHV3-72" 65
"Pt1" "hcv" "IGHV3-23" 612
"Pt1" "hcv" "IGHV5-51" 171
"Pt1" "hcv" "IGHV3-73" 20
"Pt1" "hcv" "IGHV6-1" 55
"Pt1" "hcv" "IGHV4-55" 0
"Pt1" "hcv" "IGHV4-34" 180
"Pt1" "hcv" "IGHV1-69" 266
"Pt1" "hcv" "IGHV3-9" 0
"Pt1" "hcv" "IGHV2-70" 58
"Pt1" "hcv" "IGHV3/OR16-10" 0
"Pt1" "hcv" "IGHV3-NL1" 0
"Pt1" "hcv" "IGHV4-28" 6
"Pt1" "hcv" "IGHV3/OR16-8" 0
"Pt1" "hcv" "IGHV4-30-2" 72
"Pt1" "hcv" "IGHV4-59" 401
"Pt1" "hcv" "IGHV4-38-2" 59
"Pt1" "hcv" "IGHV4-39" 392
"Pt1" "hcv" "IGHV4-30-4" 186
"Pt11" "hcv" "IGHV1-3" 23
"Pt11" "hcv" "IGHV6-1" 24
"Pt11" "hcv" "IGHV1-24" 21
"Pt11" "hcv" "IGHV4-30-2" 14
"Pt11" "hcv" "IGHV1-45" 2
"Pt11" "hcv" "IGHV3-21" 153
"Pt11" "hcv" "IGHV4/OR15-8" 1
"Pt11" "hcv" "IGHV4-30-4" 5
"Pt11" "hcv" "IGHV2-26" 14
"Pt11" "hcv" "IGHV1-18" 131
"Pt11" "hcv" "IGHV1/OR15-4" 0
"Pt11" "hcv" "IGHV4-28" 1
"Pt11" "hcv" "IGHV7-4-1" 0
"Pt11" "hcv" "IGHV2-70" 29
"Pt11" "hcv" "IGHV3-69-1" 0
"Pt11" "hcv" "IGHV4-31" 141
"Pt11" "hcv" "IGHV3-22" 0
"Pt11" "hcv" "IGHV4-34" 66
"Pt11" "hcv" "IGHV5-10-1" 36
"Pt11" "hcv" "IGHV3-23" 452
"Pt11" "hcv" "IGHV1-46" 41
"Pt11" "hcv" "IGHV1-58" 4
"Pt11" "hcv" "IGHV3-30" 126
"Pt11" "hcv" "IGHV1-68" 0
"Pt11" "hcv" "IGHV2-5" 29
